Symbol	Description
0480.HK	HKR International Ltd
0482.HK	Sandmartin International Holdings Ltd
0483.HK	Bauhaus International (Holdings) Ltd
0485.HK	Starlight International Holdings Ltd
0486.HK	Associates Corp of North America 7.375% Senior Notes 10
0487.HK	Macau Success Ltd
0488.HK	Lai Sun Development Co. Ltd
0489.HK	Dongfeng Motor Group Co. Ltd
0491.HK	See Corporation Ltd
0493.HK	GOME Electrical Appliances Holding Ltd
0494.HK	Li & Fung Ltd
0496.HK	Kasen International Holdings Ltd
0497.HK	Capital Strategic Investment Ltd
0498.HK	PYI Corporation Ltd
0500.HK	DVN (Holdings) Ltd
0503.HK	China Paradise Electronics Retail Ltd
0505.HK	Xingye Copper International Group Ltd
0506.HK	COFCO International Ltd
0508.HK	Chevalier iTech Holdings Ltd
0509.HK	Lg China Fund
0510.HK	Cash Financial Services Ltd
0511.HK	Television Broadcasts Ltd
0512.HK	MAXX Bioscience Holdings Ltd
0513.HK	Continental Holdings Ltd
0515.HK	TC Interconnect Holdings Ltd
0517.HK	COSCO International Holdings Ltd
0518.HK	Tungtex (Holdings) Co. Ltd
0519.HK	Applied International Holdings Ltd
0521.HK	Shougang Concord Technology Holdings Ltd
0522.HK	ASM Pacific Technology Ltd
0524.HK	e-Kong Group Ltd
0525.HK	Guangshen Railway Co. Ltd
0526.HK	Magician Industries (Holdings) Ltd
0527.HK	Galaxy Semi-Conductor Holdings Ltd
0528.HK	General Motors Acceptance Corp 100 N0207
0529.HK	SiS International Holdings Ltd
0530.HK	Fortuna International Holdings Ltd
0531.HK	Samson Holding Ltd
0533.HK	Goldlion Holdings Ltd
0536.HK	Tradelink Electronic Commerce Ltd
0538.HK	Ajisen (China) Holdings Ltd
0539.HK	Victory City International Holdings Ltd
0543.HK	Pacific Online Ltd
0544.HK	Daido Group Ltd
0546.HK	Fufeng Group Ltd.  
0547.HK	Sun Innovation Holdings Ltd
0548.HK	Shenzhen Expressway Co. Ltd
0549.HK	Jilin Qifeng Chemical Fiber Co. Ltd
0550.HK	Recruit Holdings
0551.HK	Yue Yuen Industrial (Holdings) Ltd
0552.HK	chi Cheung Investment Co Ltd W0311
0553.HK	Nanjing Panda Electronic Co. Ltd
0554.HK	Hans Energy Co. Ltd
0555.HK	REXCAPITAL Financial Holdings Ltd
0556.HK	Pan Asia Environmental Protection Group Ltd
0557.HK	City e-Solutions Ltd
0558.HK	L.K. Technology Holdings Ltd.
0559.HK	Hua Yi Copper Holdings Ltd
0560.HK	Chu Kong Shipping Development Co. Ltd
0563.HK	Neo-China Group (Holdings) Ltd
0565.HK	Art Textile Technology International Co. Ltd
0566.HK	RBI Holdings Ltd
0567.HK	Daisho Microline Holdings Ltd
0568.HK	Shandong Molong Petroleum Machinery Co. Ltd
0569.HK	Kith Holdings W0406
0570.HK	Wing Shan International Ltd
0571.HK	eSun Holdings Ltd
0573.HK	Hanny Holdings W0204
0575.HK	Regent Pacific Group Ltd
0576.HK	Zhejiang Expressway Co. Ltd
0579.HK	Beijing Jingneng Clean Energy
0580.HK	Sun.King Power Electronics Group Ltd
0581.HK	China Oriental Group Co. Ltd
0583.HK	SCMP Group Ltd
0585.HK	Imagi International Holdings Ltd
0587.HK	Hua Han Bio-Pharmaceutical Holdings Ltd
0588.HK	Beijing North Star Co. Ltd
0590.HK	Luk Fook Holdings (International) Ltd
0592.HK	Bossini International Holdings Ltd
0593.HK	Quality HealthCare Asia Ltd
0595.HK	AV Concept Holdings Ltd
0596.HK	China Online (bermuda) Ltd W0306
0598.HK	Sinotrans Ltd
0599.HK	E. Bon Holdings Ltd
0600.HK	Honesty Treasure International Holdings Ltd
0601.HK	Group Sense (International) Ltd
0602.HK	Kingboard Chemical Holdings Ltd W0312
0603.HK	Nippon Asia Investments Holdings Ltd
0604.HK	Shenzhen Investment Ltd
0606.HK	Leading Spirit High-tech (hold) Co Ltd
0608.HK	High Fashion International Ltd
0609.HK	Qpl International Holdings Ltd W0401
0610.HK	Wai Kee Holdings Ltd
0613.HK	Yugang International Ltd
0616.HK	Easyknit Enterprises Holdings Ltd
0617.HK	Paliburg Holdings Ltd
0618.HK	EC-Founder (Holdings) Co. Ltd
0619.HK	South China Brokerage Co. Ltd
0620.HK	UDL Holdings Ltd
0622.HK	Enerchina Holdings Ltd
0623.HK	SNP Leefung Holdings Ltd
0626.HK	Public Financial Holdings Ltd
0628.HK	Teem Foundation Group Ltd
0629.HK	Yue Da Holdings Ltd
0630.HK	Jackin International Holdings Ltd
0632.HK	China Merchants DiChain (Asia) Ltd
0633.HK	Iregent Group W0306
0635.HK	Playmates Holdings Ltd
0637.HK	Lee Kee Holdings Ltd
0638.HK	Kin Yat Holdings Ltd
0639.HK	Fushan International Energy Group Ltd
0640.HK	Harmony Asset W0205
0643.HK	Carry Wealth Holdings Ltd
0645.HK	KTP Holdings Ltd
0646.HK	Yardway Group Ltd
0647.HK	Joyce Boutique Holdings Ltd
0651.HK	Wonson International Holdings Ltd
0653.HK	Bonjour Holdings Ltd
0655.HK	Hongkong Chinese Ltd
0656.HK	Asia Aluminum Holdings Limtied W0203
0658.HK	China High Speed Transmission Equipment Group Ltd
0659.HK	NWS Holdings Ltd
0660.HK	Nority International Group Ltd
0661.HK	China National Resources Development Holdings Ltd
0662.HK	Asia Financial Holdings Ltd
0663.HK	Swank International Manufacturing Co. Ltd
0665.HK	Taifook Securities Group Ltd
0666.HK	Yu Ming Investments Ltd
0668.HK	Hong Kong Catering Management Ltd
0669.HK	Techtronic Industries Co. Ltd
0670.HK	China Eastern Airlines Corporation Ltd
0672.HK	Barclays Asian Selection Fund Ltd-aseans
0673.HK	China HealthCare Holdings Ltd
0674.HK	United Power Investment Ltd
0675.HK	K & P International Holdings Ltd
0677.HK	Golden Resources Development International Ltd
0678.HK	Star Cruises Ltd
0679.HK	Asia Tele-Net And Technology Corporation Ltd
0680.HK	Nan Hai Corporation Ltd
0681.HK	Chinese People Gas Holdings Co. Ltd
0683.HK	Kerry Properties Ltd
0684.HK	Allan International Holdings Ltd
0685.HK	Ming Pao Enterprise Corporation Ltd
0686.HK	Gay Giano International Group Ltd
0687.HK	Tysan Holdings Ltd
0688.HK	China Overseas Land & Investment Ltd
0691.HK	China Shanshui Cement Group Ltd
0693.HK	Tan Chong International Ltd
0694.HK	Beijing Capital International Airport Co. Ltd
0696.HK	TravelSky Technology Ltd
0697.HK	Shougang Concord International Enterprises Co. Ltd
0698.HK	Tongda Group Holdings Ltd
0700.HK	Tencent Holdings Ltd
0701.HK	CNT Group Ltd
0702.HK	Genesis Energy Holdings Ltd
0703.HK	Innovo Leisure Recreation Holdings Ltd
0704.HK	Frankie Dominion International Ltd
0705.HK	Zhongda International Holdings Ltd Warrants 2006
0706.HK	FinTronics Holdings Co. Ltd
0707.HK	Co-Prosperity Holdings Ltd
0708.HK	New Media Group Holdings Ltd
0709.HK	Giordano International Ltd
0710.HK	Varitronix International Ltd
0711.HK	Chun Wo Holdings Ltd
0712.HK	China Resources Cement Holdings Ltd
0713.HK	World Houseware (Holdings) Ltd
0715.HK	Hutchison Harbour Ring Ltd
0716.HK	Singamas Container Holdings Ltd
0717.HK	Emperor Capital Group Ltd
0718.HK	Bestway International Holdings Ltd
0719.HK	Shandong Xinhua Pharmaceutical Co. Ltd
0720.HK	Wo Kee Hong (Holdings) Ltd
0721.HK	Prime Investments Holdings Ltd
0723.HK	Anex International Holdings Ltd
0725.HK	Perennial International Ltd
0726.HK	South East Group Ltd
0727.HK	VXL Capital Ltd
0728.HK	China Telecom Corporation Ltd
0730.HK	Shougang Concord Grand (Group) Ltd
0731.HK	Samson Paper Holdings Ltd
0733.HK	Hopefluent Group Holdings Ltd
0735.HK	Oriental Investment Corporation Ltd
0736.HK	Northern International Holdings Ltd
0737.HK	Hopewell Highway Infrastructure Ltd
0738.HK	Le Saunda Holdings Ltd
0743.HK	Asia Cement Holdings
0745.HK	Wing Hong (Holdings) Ltd
0746.HK	Lee & Man Holding Ltd
0747.HK	Shenyang Public Utility Holdings Co. Ltd
0750.HK	China Singyes Solar Tech
0751.HK	Skyworth Digital Holdings Ltd
0752.HK	Pico Far East Holdings Ltd
0753.HK	Air China Ltd
0754.HK	Hopson Development Holdings Ltd
0755.HK	Shanghai Zendai Property Ltd
0756.HK	Iquorum Cybernet W0404
0757.HK	Solargiga Energy Holdings Ltd
0758.HK	Junefield Department Store Group Ltd
0759.HK	CEC International Holdings Ltd
0760.HK	Tomorrow International Holdings Ltd
0762.HK	China Unicom Ltd
0763.HK	ZTE Corporation
0764.HK	Riche Multi-Media Holdings Ltd
0765.HK	Perfectech International Holdings Ltd
0766.HK	Sino Prosper Holdings Ltd
0768.HK	UBA Investments Ltd
0769.HK	China Rare Earth Holdings Ltd
0771.HK	Automated Systems Holdings Ltd
0773.HK	China Metal Recycling Holdings Ltd
0775.HK	CK Life Sciences Int (Holdings) Inc
0777.HK	NetDragon Websoft Inc
0789.HK	Artini China Company Ltd
0794.HK	Come Sure Group
0800.HK	A8 Digital Music Holdings Ltd
0801.HK	Golden Meditech Company Ltd
0802.HK	RCG
0803.HK	Prosperity International Holdings Ltd
0805.HK	
0806.HK	Value Partners Group Ltd
0808.HK	Prosperity Real Estate Investment Trust
0809.HK	Global Bio-chem Technology Group Co. Ltd
0811.HK	Sichuan Xinhua Winshare Chainst Ltd
0812.HK	Tanrich Financial Holdings Ltd
0813.HK	Shimao Property Holdings Ltd
0814.HK	Beijing Jingkelong Co Ltd
0817.HK	Korea Electric Power Corp 6 3/8% N 2003
0818.HK	Hi Sun Technology (China) Ltd
0819.HK	Tianneng Power International Ltd
0820.HK	HSBC Dragon Fund
0821.HK	Barclays Asian Selection F Ltd H K Fund
0822.HK	Barclays Asian Selection F Ltd Indo Fund
0823.HK	The Link Real Estate Investment Trust
0825.HK	Barclays Asian Selection F Ltd Phil Fund
0826.HK	Barclays Asian Selection F Ltd Sing Fund
0827.HK	Barclays Asian Selection F Ltd Se Asia F
0828.HK	Dynasty Fine Wines Group Ltd
0829.HK	Barclays Asian Selection F Ltd Usd Liq F
0831.HK	
0832.HK	korea 1990 Trust The-beneficial Cert.
0833.HK	Alltronics Holdings Ltd
0834.HK	Anhui Tianda Oil Pipe Co Ltd
0835.HK	Nubrands Group Holdings Ltd
0836.HK	China Resources Power Holdings Co. Ltd
0837.HK	China Pharmaceutical Ent & Inv Corp W0110
0838.HK	EVA Precision Industrial Holdings Ltd
0839.HK	Anhui Tianda Oil Pipe Company Ltd
0840.HK	Xinjiang Tianye Water Saving Irrigation System Company Ltd
0841.HK	Asia Cassava Resources Holdings Ltd
0842.HK	
0844.HK	
0845.HK	Artfield Group W0403
0846.HK	Mingfa Group Co Ltd
0847.HK	
0848.HK	Prc-6.125% Notes 100 Due 2003
0850.HK	Wing Shing International Holdings Ltd
0851.HK	MAE Holdings Ltd
0852.HK	Good Fellow Group W0112
0853.HK	Global Tech (holdings) W0408
0855.HK	China Water Affairs Group Ltd
0856.HK	VST Holdings Ltd
0857.HK	PetroChina Co. Ltd
0858.HK	Extrawell Pharmaceutical Holdings Ltd
0859.HK	Henry Group Holdings Ltd
0860.HK	Ming Fung Jewellery Group Ltd
0861.HK	Digital China Holdings Ltd
0862.HK	New World Mobile Holdings Ltd
0866.HK	SUNDAY Communications Ltd
0867.HK	Thornton Tiger Fund
0868.HK	Xinyi Glass Holdings Ltd
0869.HK	Playmates Toys Ltd
0871.HK	
0872.HK	Cable & Wireless Plc-us$1000 Bond 2003
0873.HK	
0876.HK	Wing Lee Holdings Ltd
0877.HK	Asian Development Bank 6.125% Bonds 2004
0878.HK	Soundwill Holdings Ltd
0880.HK	SJM Holdings Ltd
0881.HK	Jf Japan Otc Fund Inc.
